"FOLIO","DOR_C","SITE_CITY","LAND","IMP","S_DATE","SALES","NBHC","NBHD","TOTVAL"
"0072840000","0100","TAMPA",28681,88116,8/8/2017,164900,208003,"TOWN&CTY",116797
"0073010000","0100","TAMPA",30206,107548,1/6/2017,155000,208003,"TOWN&CTY",137754
"0073980000","0100","TAMPA",28681,127101,2/24/2017,185000,208003,"TOWN&CTY",155782
"0074150000","0100","TAMPA",43863,89530,7/31/2017,179000,208003,"TOWN&CTY",133393
"0074410000","0100","TAMPA",31559,107316,6/15/2017,175000,208003,"TOWN&CTY",138875
"0074480000","0100","TAMPA",30952,135860,1/10/2017,230000,208003,"TOWN&CTY",166812
"0074800000","0100","TAMPA",37699,182626,3/30/2017,240000,208003,"TOWN&CTY",220325
"0074860000","0100","TAMPA",34134,138168,4/7/2017,191500,208003,"TOWN&CTY",172302
"0074930000","0100","TAMPA",33035,95782,11/2/2017,235000,208003,"TOWN&CTY",128817
"0075440000","0100","TAMPA",34272,109495,9/15/2017,224900,208003,"TOWN&CTY",143767
"0075510000","0100","TAMPA",39340,123447,1/24/2017,220000,208003,"TOWN&CTY",162787
"0075710000","0100","TAMPA",35003,109141,1/6/2017,150000,208003,"TOWN&CTY",144144
"0075850000","0100","TAMPA",35003,74358,7/31/2017,85000,208003,"TOWN&CTY",109361
"0076000000","0100","TAMPA",35496,138216,1/6/2017,203000,208003,"TOWN&CTY",173712
"0076050000","0100","TAMPA",42033,81114,11/27/2017,244900,208003,"TOWN&CTY",123147
"0076400000","0100","TAMPA",40266,122750,6/30/2017,230000,208003,"TOWN&CTY",163016
"0076500000","0100","TAMPA",37741,139558,11/21/2017,240000,208003,"TOWN&CTY",177299
"0076710000","0100","TAMPA",40317,160771,6/30/2017,249000,208003,"TOWN&CTY",201088
"0077210000","0100","TAMPA",36040,89607,9/28/2017,200000,208003,"TOWN&CTY",125647
"0077470000","0100","TAMPA",38709,112748,11/30/2017,239000,208003,"TOWN&CTY",151457
"0077530000","0100","TAMPA",38877,104066,10/17/2017,210000,208003,"TOWN&CTY",142943
"0077560000","0100","TAMPA",40644,123162,11/14/2017,215000,208003,"TOWN&CTY",163806
"0077640000","0100","TAMPA",33567,87762,3/10/2017,131000,208003,"TOWN&CTY",121329
"0077930000","0100","TAMPA",35190,136368,8/17/2017,230000,208003,"TOWN&CTY",171558
"0077950000","0100","TAMPA",33567,102199,3/1/2017,165000,208003,"TOWN&CTY",135766
"0078020000","0100","TAMPA",35190,88137,6/2/2017,180000,208003,"TOWN&CTY",123327
"0078150000","0100","TAMPA",39382,171478,9/26/2017,200000,208003,"TOWN&CTY",210860
"0078180000","0100","TAMPA",47858,111806,5/19/2017,150000,208003,"TOWN&CTY",159664
"0078300000","0100","TAMPA",40644,134570,6/7/2017,202000,208003,"TOWN&CTY",175214
"0078630000","0100","TAMPA",42171,125947,4/7/2017,198000,208003,"TOWN&CTY",168118
"0078800000","0100","TAMPA",39971,111744,4/28/2017,175000,208003,"TOWN&CTY",151715
"0078970000","0100","TAMPA",49085,143366,4/21/2017,225000,208003,"TOWN&CTY",192451
"0079010000","0100","TAMPA",53194,117886,9/28/2017,175000,208003,"TOWN&CTY",171080
"0079100000","0100","TAMPA",45080,117078,12/29/2017,189000,208003,"TOWN&CTY",162158
"0079260000","0100","TAMPA",39340,114779,1/27/2017,200000,208003,"TOWN&CTY",154119
"0079470000","0100","TAMPA",42900,156820,11/15/2017,126400,208003,"TOWN&CTY",199720
"0079760000","0100","TAMPA",40484,132030,5/25/2017,200000,208003,"TOWN&CTY",172514
"0079950000","0100","TAMPA",40484,118240,6/9/2017,200000,208003,"TOWN&CTY",158724
"0079980000","0100","TAMPA",44523,119105,8/11/2017,189900,208003,"TOWN&CTY",163628
"0080040000","0100","TAMPA",35062,106074,1/5/2018,169900,208003,"TOWN&CTY",141136
"0080090000","0100","TAMPA",39803,126437,8/18/2017,231000,208003,"TOWN&CTY",166240
"0080490000","0100","TAMPA",50674,129781,4/21/2017,234000,208003,"TOWN&CTY",180455
"0080580000","0100","TAMPA",37489,117305,10/23/2017,184000,208003,"TOWN&CTY",154794
"0080605031","0100","TAMPA",35700,122949,9/29/2017,206000,208003,"TOWN&CTY",158649
"0088210000","0100","TAMPA",33052,103055,8/28/2017,225000,208003,"TOWN&CTY",136107
"0088220000","0100","TAMPA",37400,165062,6/9/2017,235000,208003,"TOWN&CTY",202462
"0088670000","0100","TAMPA",41192,191064,3/7/2017,250000,208003,"TOWN&CTY",232256
"0089120000","0100","TAMPA",36040,84419,11/3/2017,215000,208003,"TOWN&CTY",120459
"0089280000","0100","TAMPA",35679,115589,1/9/2017,184500,208003,"TOWN&CTY",151268
"0091450000","0100","TAMPA",29733,81896,9/29/2017,185000,208001,"TOWN&CTY",111629
"0092490416","0100","TAMPA",30546,95385,11/30/2017,189900,208001,"TOWN&CTY",125931
"0092490426","0100","TAMPA",35212,82699,1/31/2017,145000,208001,"TOWN&CTY",117911
"0092490434","0100","TAMPA",36550,152357,8/25/2017,54200,208001,"TOWN&CTY",188907
"0092490456","0100","TAMPA",30546,87594,12/18/2017,160000,208001,"TOWN&CTY",118140
"0092490680","0100","TAMPA",38651,77765,10/27/2017,130000,208001,"TOWN&CTY",116416
"0092490682","0100","TAMPA",42432,127348,6/30/2017,215000,208001,"TOWN&CTY",169780
"0092490802","0100","TAMPA",30388,79171,5/15/2017,157000,208001,"TOWN&CTY",109559
"0092490900","0100","TAMPA",30388,123156,12/8/2017,205000,208001,"TOWN&CTY",153544
"0092490912","0100","TAMPA",31472,76619,5/12/2017,140000,208001,"TOWN&CTY",108091
"0092600000","0100","TAMPA",27944,75891,11/28/2017,120000,208001,"TOWN&CTY",103835
"0092650000","0100","TAMPA",27944,80496,5/23/2017,165000,208001,"TOWN&CTY",108440
"0092810000","0100","TAMPA",27043,65310,12/6/2017,100000,208001,"TOWN&CTY",92353
"0092920000","0100","TAMPA",27043,117212,5/30/2017,198000,208001,"TOWN&CTY",144255
"0093000000","0100","TAMPA",27043,75318,1/16/2018,175000,208001,"TOWN&CTY",102361
"0093130000","0100","TAMPA",27043,73995,3/3/2017,154900,208001,"TOWN&CTY",101038
"0093180000","0100","TAMPA",32398,82719,8/4/2017,191000,208001,"TOWN&CTY",115117
"0093340000","0100","TAMPA",26010,48813,3/31/2017,130000,208001,"TOWN&CTY",74823
"0093380000","0100","TAMPA",26010,71999,2/17/2017,135000,208001,"TOWN&CTY",98009
"0093860000","0100","TAMPA",26010,87033,10/6/2017,157000,208001,"TOWN&CTY",113043
"0093890000","0100","TAMPA",26010,70426,12/4/2017,150000,208001,"TOWN&CTY",96436
"0094160000","0100","TAMPA",26010,103120,11/3/2017,110000,208001,"TOWN&CTY",129130
"0094190000","0100","TAMPA",36433,97739,1/22/2018,220000,208001,"TOWN&CTY",134172
"0094280000","0100","TAMPA",27815,82655,7/24/2017,160000,208001,"TOWN&CTY",110470
"0094300000","0100","TAMPA",28073,96532,4/27/2017,144500,208001,"TOWN&CTY",124605
"0094450000","0100","TAMPA",27944,64504,2/21/2017,156000,208001,"TOWN&CTY",92448
"0095450000","0100","TAMPA",26179,66304,8/31/2017,108000,208001,"TOWN&CTY",92483
"0095710000","0100","TAMPA",29452,95344,9/19/2017,185000,208001,"TOWN&CTY",124796
"0095920000","0100","TAMPA",27622,79459,10/25/2017,120000,208001,"TOWN&CTY",107081
"0095960000","0100","TAMPA",27622,96201,3/24/2017,165000,208001,"TOWN&CTY",123823
"0096440000","0100","TAMPA",29325,100186,11/10/2017,100000,208001,"TOWN&CTY",129511
"0096960000","0100","TAMPA",26010,82558,7/20/2017,180900,208001,"TOWN&CTY",108568
"0097010000","0100","TAMPA",26184,102026,2/21/2017,167000,208001,"TOWN&CTY",128210
"0097260000","0100","TAMPA",29892,79967,5/26/2017,162300,208001,"TOWN&CTY",109859
"0097620000","0100","TAMPA",33736,83952,2/21/2017,148000,208001,"TOWN&CTY",117688
"0097900000","0100","TAMPA",30657,95852,5/31/2017,160000,208001,"TOWN&CTY",126509
"0098220000","0100","TAMPA",32545,96548,3/16/2017,154000,208001,"TOWN&CTY",129093
"0098270000","0100","TAMPA",38587,93351,5/18/2017,170000,208001,"TOWN&CTY",131938
"0099270000","0100","TAMPA",30281,153360,5/31/2017,185000,208001,"TOWN&CTY",183641
"0099503012","0100","TAMPA",31977,147874,4/14/2017,150000,208001,"TOWN&CTY",179851
"0099550000","0100","TAMPA",30345,76566,11/22/2017,170000,208001,"TOWN&CTY",106911
"0099620000","0100","TAMPA",30345,84141,3/29/2017,143000,208001,"TOWN&CTY",114486
"0099690000","0100","TAMPA",30345,96849,10/5/2017,179000,208001,"TOWN&CTY",127194
"0099810000","0100","TAMPA",47724,110416,12/27/2017,280000,208001,"TOWN&CTY",158140
"0099900000","0100","TAMPA",30345,82582,4/21/2017,140000,208001,"TOWN&CTY",112927
"0100210000","0100","TAMPA",69854,119039,2/23/2017,242200,208001,"TOWN&CTY",188893
"0100240000","0100","TAMPA",29325,68485,1/18/2018,127900,208001,"TOWN&CTY",97810
"0100480000","0100","TAMPA",26010,75693,7/28/2017,138000,208001,"TOWN&CTY",101703
"0100650000","0100","TAMPA",26010,79034,10/13/2017,145000,208001,"TOWN&CTY",105044
"0100740000","0100","TAMPA",26010,84642,2/15/2017,155000,208001,"TOWN&CTY",110652
"0100770000","0100","TAMPA",26010,104736,4/26/2017,170000,208001,"TOWN&CTY",130746
"0100920000","0100","TAMPA",26010,111689,4/27/2017,167000,208001,"TOWN&CTY",137699
"0101060000","0100","TAMPA",27901,87528,1/10/2017,165000,208001,"TOWN&CTY",115429
"0101350000","0100","TAMPA",34986,146984,2/6/2017,230000,208001,"TOWN&CTY",181970
"0101380000","0100","TAMPA",78951,164243,10/20/2017,314000,208001,"TOWN&CTY",243194
"0101400000","0100","TAMPA",38160,353603,9/1/2017,399900,208001,"TOWN&CTY",391763
"0101520000","0100","TAMPA",68815,110658,6/6/2017,175300,208001,"TOWN&CTY",179473
"0101660000","0100","TAMPA",68850,105629,8/14/2017,203000,208001,"TOWN&CTY",174479
"0101925328","0100","TAMPA",38842,318479,4/7/2017,420000,208001,"TOWN&CTY",357321
"0113870000","0100","TAMPA",26614,80687,3/1/2017,147000,208001,"TOWN&CTY",107301
"0114050000","0100","TAMPA",27043,75577,10/30/2017,175000,208001,"TOWN&CTY",102620
"0114080000","0100","TAMPA",27043,61686,9/29/2017,185000,208001,"TOWN&CTY",88729
"0114140000","0100","TAMPA",27043,97684,11/6/2017,204000,208001,"TOWN&CTY",124727
"0114220000","0100","TAMPA",38842,112302,3/17/2017,172000,208001,"TOWN&CTY",151144
"0114710000","0100","TAMPA",32604,88288,12/6/2017,125000,208001,"TOWN&CTY",120892
"0114760000","0100","TAMPA",27043,55970,12/20/2017,110000,208001,"TOWN&CTY",83013
"0115340000","0100","TAMPA",26614,78016,4/28/2017,154000,208001,"TOWN&CTY",104630
"0115520000","0100","TAMPA",26614,101347,4/27/2017,155500,208001,"TOWN&CTY",127961
"0115640000","0100","TAMPA",29325,72836,11/7/2017,116000,208001,"TOWN&CTY",102161
"0115750000","0100","TAMPA",27472,106230,7/26/2017,173000,208001,"TOWN&CTY",133702
"0115760000","0100","TAMPA",26614,89092,3/7/2017,153000,208001,"TOWN&CTY",115706
"0116090000","0100","TAMPA",27472,122567,10/31/2017,189000,208001,"TOWN&CTY",150039
"0116220000","0100","TAMPA",26614,87724,1/12/2018,182000,208001,"TOWN&CTY",114338
"0116350000","0100","TAMPA",27472,100116,7/26/2017,90000,208001,"TOWN&CTY",127588
"0116640000","0100","TAMPA",26614,65181,12/29/2017,160000,208001,"TOWN&CTY",91795
"0116650000","0100","TAMPA",27472,61609,4/27/2017,140000,208001,"TOWN&CTY",89081
"0117210000","0100","TAMPA",27043,84032,8/4/2017,130000,208001,"TOWN&CTY",111075
"0117410000","0100","TAMPA",28021,122161,2/28/2017,170000,208001,"TOWN&CTY",150182
"0117520000","0100","TAMPA",28475,107093,2/16/2017,175000,208001,"TOWN&CTY",135568
"0117710000","0100","TAMPA",28475,75179,10/31/2017,204900,208001,"TOWN&CTY",103654
"0118120000","0100","TAMPA",28475,93089,9/26/2017,147000,208001,"TOWN&CTY",121564
"0118130000","0100","TAMPA",28475,107212,4/3/2017,182500,208001,"TOWN&CTY",135687
"0118360000","0100","TAMPA",27043,114472,5/31/2017,185000,208001,"TOWN&CTY",141515
"0118760000","0100","TAMPA",26010,64810,6/12/2017,125000,208001,"TOWN&CTY",90820
"0118980000","0100","TAMPA",32061,106461,8/30/2017,174000,208001,"TOWN&CTY",138522
"0119060000","0100","TAMPA",32818,91358,4/21/2017,160000,208001,"TOWN&CTY",124176
"0129295758","0100","LUTZ",95691,261888,10/2/2017,412000,215014,"CHEVAL",357579
"0129295812","0100","LUTZ",68095,185942,9/6/2017,383500,215014,"CHEVAL",254037
"0129295820","0100","LUTZ",55440,174062,3/27/2017,324500,215014,"CHEVAL",229502
"0129295832","0100","LUTZ",55440,162331,4/21/2017,283000,215014,"CHEVAL",217771
"0129295836","0100","LUTZ",58262,147425,8/18/2017,265000,215014,"CHEVAL",205687
"0129453012","0100","LUTZ",99590,288398,6/8/2017,490000,215014,"CHEVAL",387988
"0129453016","0100","LUTZ",105792,309526,4/17/2017,575000,215014,"CHEVAL",415318
"0129453100","0100","LUTZ",127443,299430,5/31/2017,508500,215014,"CHEVAL",426873
"0129453138","0100","LUTZ",97373,284669,8/9/2017,542000,215014,"CHEVAL",382042
"0129453308","0100","LUTZ",76440,208811,11/7/2017,400000,215014,"CHEVAL",285251
"0129453358","0100","LUTZ",105478,207967,1/16/2018,365000,215014,"CHEVAL",313445
"0129453376","0100","LUTZ",80651,218293,12/4/2017,440000,215014,"CHEVAL",298944
"0129453406","0100","LUTZ",69000,219050,8/25/2017,410000,215014,"CHEVAL",288050
"0129453408","0100","LUTZ",69000,254688,4/19/2017,426000,215014,"CHEVAL",323688
"0129453450","0100","LUTZ",84390,225752,11/2/2017,372500,215014,"CHEVAL",310142
"0129453478","0100","LUTZ",82621,202923,3/20/2017,350000,215014,"CHEVAL",285544
"0129453492","0100","LUTZ",128149,263623,2/28/2017,446500,215014,"CHEVAL",391772
"0129453556","0100","LUTZ",55814,285046,3/13/2017,440000,215014,"CHEVAL",340860
"0129453566","0100","LUTZ",60794,212722,8/18/2017,440000,215014,"CHEVAL",273516
"0129453570","0100","LUTZ",59535,191807,8/28/2017,372000,215014,"CHEVAL",251342
"0129453594","0100","LUTZ",55373,212722,8/4/2017,437000,215014,"CHEVAL",268095
"0129453600","0100","LUTZ",80125,253438,12/14/2017,465000,215014,"CHEVAL",333563
"0129453754","0100","LUTZ",41976,140847,5/30/2017,255000,215014,"CHEVAL",182823
"0129453758","0100","LUTZ",48023,168268,8/17/2017,272000,215014,"CHEVAL",216291
"0129453804","0100","LUTZ",68440,157262,12/15/2017,268000,215014,"CHEVAL",225702
"0129453834","0100","LUTZ",54730,166268,2/10/2017,292000,215014,"CHEVAL",220998
"0129453928","0100","LUTZ",70575,214293,2/3/2017,353000,215014,"CHEVAL",284868
"0129453944","0100","LUTZ",56304,207644,6/16/2017,355000,215014,"CHEVAL",263948
"0129453960","0100","LUTZ",55440,208810,8/23/2017,430000,215014,"CHEVAL",264250
"0129453978","0100","LUTZ",59904,207644,8/15/2017,367000,215014,"CHEVAL",267548
"0129454138","0100","LUTZ",96798,248559,6/30/2017,399900,215014,"CHEVAL",345357
"0129454150","0100","LUTZ",85065,261108,1/11/2018,415000,215014,"CHEVAL",346173
"0129454156","0100","LUTZ",112382,274437,12/28/2017,424500,215014,"CHEVAL",386819
"0129454198","0100","LUTZ",77616,309835,6/26/2017,515000,215014,"CHEVAL",387451
"0129454304","0100","LUTZ",71482,145952,2/28/2017,294000,215014,"CHEVAL",217434
"0129454318","0100","LUTZ",71795,142961,3/30/2017,260000,215014,"CHEVAL",214756
"0129454322","0100","LUTZ",69034,145305,8/31/2017,289000,215014,"CHEVAL",214339
"0129454350","0100","LUTZ",96445,143094,11/6/2017,306000,215014,"CHEVAL",239539
"0129454388","0100","LUTZ",58344,148420,4/26/2017,202000,215014,"CHEVAL",206764
"0129454462","0100","LUTZ",46200,145583,9/14/2017,245000,215014,"CHEVAL",191783
"0129454522","0100","LUTZ",70502,198357,10/31/2017,385000,215014,"CHEVAL",268859
"0129454542","0100","LUTZ",74252,211306,9/18/2017,423000,215014,"CHEVAL",285558
"0129454554","0100","LUTZ",62542,222974,6/30/2017,430000,215014,"CHEVAL",285516
"0129454560","0100","LUTZ",67565,201549,7/28/2017,320000,215014,"CHEVAL",269114
"0129454752","0100","LUTZ",47792,176352,4/14/2017,285000,215014,"CHEVAL",224144
"0129790530","0100","LUTZ",57487,345764,6/16/2017,529500,215016,"CHEVAL",403251
"0129790542","0100","LUTZ",85129,258510,7/19/2017,445000,215016,"CHEVAL",343639
"0129790550","0100","LUTZ",59725,205144,4/12/2017,335000,215016,"CHEVAL",264869
"0129790552","0100","LUTZ",61129,173263,7/31/2017,260000,215016,"CHEVAL",234392
"0129790640","0100","LUTZ",59518,236388,10/30/2017,350000,215016,"CHEVAL",295906
"0129790664","0100","LUTZ",62168,233418,2/24/2017,315800,215016,"CHEVAL",295586
"0129790702","0100","LUTZ",240748,718720,3/31/2017,1275000,215017,"CHEVAL",959468
"0129790718","0100","LUTZ",266112,470788,12/29/2017,975000,215017,"CHEVAL",736900
"0129790762","0100","LUTZ",186921,372648,4/3/2017,567500,215016,"CHEVAL",559569
"0129790824","0100","LUTZ",152178,378055,3/16/2017,660000,215016,"CHEVAL",530233
"0129790840","0100","LUTZ",165710,358439,2/23/2017,530000,215016,"CHEVAL",524149
"0129790868","0100","LUTZ",129367,360519,2/3/2017,664000,215016,"CHEVAL",489886
"0129790878","0100","LUTZ",124661,537378,12/4/2017,650000,215016,"CHEVAL",662039
"0129790884","0100","LUTZ",157477,403668,7/12/2017,690000,215016,"CHEVAL",561145
"0129795024","0100","LUTZ",78150,219512,9/23/2017,307500,215014,"CHEVAL",297662
"0129795030","0100","LUTZ",59854,227139,1/8/2018,357500,215014,"CHEVAL",286993
"0129795046","0100","LUTZ",65125,223906,5/24/2017,330000,215014,"CHEVAL",289031
"0129795070","0100","LUTZ",44864,289702,7/31/2017,450000,215014,"CHEVAL",334566
"0129795164","0100","LUTZ",60600,273660,6/1/2017,458000,215014,"CHEVAL",334260
"0129795202","0100","LUTZ",100833,484098,3/29/2017,550000,215014,"CHEVAL",584931
"0129795208","0100","LUTZ",119278,455674,4/4/2017,585000,215014,"CHEVAL",574952
"0129795268","0100","LUTZ",98220,418136,4/18/2017,620000,215014,"CHEVAL",516356
"0129795272","0100","LUTZ",95962,517564,5/8/2017,660000,215014,"CHEVAL",613526
"0129795306","0100","LUTZ",253406,710140,5/22/2017,1092000,215014,"CHEVAL",963546
"0129795334","0100","LUTZ",172696,543672,6/8/2017,970000,215014,"CHEVAL",716368
"0129795408","0100","LUTZ",134103,447250,7/6/2017,830000,215014,"CHEVAL",581353
"0129795514","0100","LUTZ",94063,406919,8/30/2017,640000,215017,"CHEVAL",500982
"0129795622","0100","LUTZ",178125,487319,11/29/2017,888000,215017,"CHEVAL",665444
"0129795664","0100","LUTZ",291519,1235275,1/10/2017,1425000,215017,"CHEVAL",1526794
"0129795884","0100","LUTZ",50576,369883,5/31/2017,525000,215014,"CHEVAL",420459
"0129840126","0100","LUTZ",191788,393807,8/1/2017,630000,215017,"CHEVAL",585595
"0129840192","0100","LUTZ",268824,620816,7/17/2017,1285000,215017,"CHEVAL",889640
"0129840200","0100","LUTZ",197669,875916,3/31/2017,1100000,215017,"CHEVAL",1073585
"0129840206","0100","LUTZ",195575,574410,6/5/2017,800000,215017,"CHEVAL",769985
"0129841002","0100","LUTZ",37646,174981,5/2/2017,250000,215016,"CHEVAL",212627
"0129841028","0100","LUTZ",45175,183716,11/22/2017,344900,215016,"CHEVAL",228891
"0129842002","0100","LUTZ",107239,224514,1/27/2017,380000,215016,"CHEVAL",331753
"0129842014","0100","LUTZ",129423,255217,7/11/2017,549900,215016,"CHEVAL",384640
"0129842020","0100","LUTZ",88451,333568,8/8/2017,527500,215016,"CHEVAL",422019
"0129842068","0100","LUTZ",78634,248780,9/28/2017,544000,215016,"CHEVAL",327414
"0129842118","0100","LUTZ",108576,243860,8/30/2017,545000,215016,"CHEVAL",352436
"0129842124","0100","LUTZ",100378,355696,6/23/2017,537500,215016,"CHEVAL",456074
"0129842174","0100","LUTZ",215099,412893,4/2/2017,720000,215017,"CHEVAL",627992
"0129843112","0100","LUTZ",93469,251975,7/14/2017,399000,215016,"CHEVAL",345444
"0129843130","0100","LUTZ",84910,182603,6/16/2017,359900,215016,"CHEVAL",267513
"0129843132","0100","LUTZ",85173,254530,10/27/2017,430000,215016,"CHEVAL",339703
"0152976330","0100","LUTZ",282145,970359,8/23/2017,1068500,215005,"AVILA",1252504
"0152976334","0100","LUTZ",265917,918192,10/10/2017,1025000,215005,"AVILA",1184109
"0154608302","0100","TAMPA",311654,543389,6/28/2017,1050000,215005,"AVILA",855043
"0157671414","0100","TAMPA",248360,447417,5/16/2017,967500,215005,"AVILA",695777
"0157673018","0100","TAMPA",189997,286334,7/25/2017,700000,215005,"AVILA",476331
"0157673074","0100","TAMPA",159782,309776,3/31/2017,679000,215005,"AVILA",469558
"0157673076","0100","TAMPA",169321,355305,12/18/2017,660000,215005,"AVILA",524626
"0158933006","0100","TAMPA",271401,340937,5/26/2017,850000,215005,"AVILA",612338
"0158933022","0100","TAMPA",453600,798122,5/30/2017,1900000,215005,"AVILA",1251722
"0158933030","0100","TAMPA",382200,394131,5/12/2017,1000000,215005,"AVILA",776331
"0158933385","0100","TAMPA",251272,299717,6/26/2017,615000,215005,"AVILA",550989
"0158933392","0100","TAMPA",262117,351640,1/16/2018,805100,215005,"AVILA",613757
"0158933414","0100","TAMPA",218400,305253,6/20/2017,665500,215005,"AVILA",523653
"0158933422","0100","TAMPA",365400,493660,2/1/2017,975000,215005,"AVILA",859060
"0158933428","0100","TAMPA",273000,268597,8/4/2017,785000,215005,"AVILA",541597
"0158933458","0100","TAMPA",281059,624737,7/10/2017,1425000,215005,"AVILA",905796
"0158933504","0100","TAMPA",306320,457042,1/11/2018,750000,215005,"AVILA",763362
"0158933536","0100","TAMPA",277189,669488,6/12/2017,1460000,215005,"AVILA",946677
"0158933554","0100","TAMPA",267638,874072,5/4/2017,1370000,215005,"AVILA",1141710
"0158933792","0100","TAMPA",236341,463541,5/18/2017,925000,215005,"AVILA",699882
"0158934056","0100","TAMPA",240648,393012,8/23/2017,770000,215005,"AVILA",633660
"0158934192","0100","TAMPA",268447,468478,4/14/2017,970000,215005,"AVILA",736925
"0159270116","0100","TAMPA",53766,177638,4/18/2017,275000,212002,"NORTHDALE",231404
"0159270142","0100","TAMPA",45675,223507,3/16/2017,290000,212002,"NORTHDALE",269182
"0159270180","0100","TAMPA",46436,166472,8/29/2017,305000,212002,"NORTHDALE",212908
"0159290020","0100","TAMPA",37306,130054,10/6/2017,286900,212002,"NORTHDALE",167360
"0159290078","0100","TAMPA",37985,138180,8/11/2017,294100,212002,"NORTHDALE",176165
"0159290094","0100","TAMPA",37306,138529,6/13/2017,252400,212002,"NORTHDALE",175835
"0159290234","0100","TAMPA",47030,155310,10/30/2017,247000,212002,"NORTHDALE",202340
"0159290438","0100","TAMPA",39579,173190,8/30/2017,293500,212002,"NORTHDALE",212769
"0159290504","0100","TAMPA",40299,167535,6/28/2017,246000,212002,"NORTHDALE",207834
"0159290516","0100","TAMPA",37306,181743,5/30/2017,254900,212002,"NORTHDALE",219049
"0159290602","0100","TAMPA",39579,121330,8/30/2017,225000,212002,"NORTHDALE",160909
"0159290610","0100","TAMPA",39579,158256,11/28/2017,289000,212002,"NORTHDALE",197835
"0159290644","0100","TAMPA",36774,107516,11/15/2017,230000,212002,"NORTHDALE",144290
"0159290666","0100","TAMPA",44412,133808,8/8/2017,250000,212002,"NORTHDALE",178220
"0159290724","0100","TAMPA",39579,135674,9/28/2017,247000,212002,"NORTHDALE",175253
"0159290750","0100","TAMPA",41800,173821,2/28/2017,248000,212002,"NORTHDALE",215621
"0159290832","0100","TAMPA",50160,176889,3/31/2017,289500,212002,"NORTHDALE",227049
"0159290838","0100","TAMPA",48671,153213,12/6/2017,270000,212002,"NORTHDALE",201884
"0159290858","0100","TAMPA",61560,154008,7/31/2017,250000,212002,"NORTHDALE",215568
"0159290882","0100","TAMPA",49855,218739,2/27/2017,289900,212002,"NORTHDALE",268594
"0159290908","0100","TAMPA",44460,126216,8/31/2017,227000,212002,"NORTHDALE",170676
"0159290926","0100","TAMPA",46273,167500,4/21/2017,250000,212002,"NORTHDALE",213773
"0159290944","0100","TAMPA",42180,121649,2/10/2017,250000,212002,"NORTHDALE",163829
"0159291010","0100","TAMPA",52172,203965,3/17/2017,315000,212002,"NORTHDALE",256137
"0159291032","0100","TAMPA",32616,110638,7/18/2017,155000,212002,"NORTHDALE",143254
"0159291140","0100","TAMPA",39407,149093,3/29/2017,229000,212002,"NORTHDALE",188500
"0159293314","0100","TAMPA",41530,245845,8/18/2017,332000,212002,"NORTHDALE",287375
